title,company,location,posted,summary,job_salary,job_link
Data Science Intern - University Students - FinLab,McKinsey & Company,"Atlanta, GA",Posted4 days ago,"You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets.",Internship,https://www.indeed.com/rc/clk?jk=14452a12ce9e0293&fccid=6576e7250aa78c3c&vjs=3
Data Engineer - Intern,Artera,"Atlanta, GA",Posted9 days ago,Going through data sources to interpret data and draw conclusions. Help in data mining: Digging deep into batches of complex data and large data sets to spot…,Internship,https://www.indeed.com/rc/clk?jk=f1fc7d2474bbdd54&fccid=549e8ec12e61cc81&vjs=3
"Intern, Supply Chain",HD Supply,"Atlanta, GA",Posted7 days ago,Demonstrates skill in data analysis and techniques by resolving missing/incomplete information and inconsistencies/anomalies in routine research/data.,Internship,https://www.indeed.com/rc/clk?jk=1ab1114e98cb1b20&fccid=a19e63c0dc2e301a&vjs=3
Data Analyst - Procurement,The Coca-Cola Company,"Atlanta, GA 30313 (Downtown area)",Posted22 days ago,This role will provide the candidate with the opportunity to work and develop skillsets in Procurement – Supply Chain.,Full-time +1,https://www.indeed.com/rc/clk?jk=9e4f7061c4ab1039&fccid=6bb4fc4a8a4cb4d9&vjs=3
"Intern, BI and Data Insights",Transportation Insight,"Atlanta, GA",Posted2 days ago,"Moderate Excel & SQL capabilities with relative experience in data visualization. Ability to define problems, collect data, establish facts, and draw valid…",Full-time +1,https://www.indeed.com/company/Human-resource-admi/jobs/Intern-b5c7401febe7cc48?fccid=510610a77968a67a&vjs=3
DT Intern,GE Corporate,"Atlanta, GA 30305 (Buckhead area)",Posted30+ days ago,"Prior intern, co-op, or research experience in software, IT or relevant area. Digital intern assignments, typically 10 to 12 weeks in length, are dynamic and…",Full-time +1,https://www.indeed.com/rc/clk?jk=7841ed5896158b90&fccid=c5c99ec01e2125aa&vjs=3
2022 Summer Internship - Data Analyst,Cox Automotive,"Remote in Atlanta, GA+3 locations",Posted30+ days ago,"Handle data preparation and data analysis portions of various projects. They also build and validate metrics, monitor data quality, analyze various forms of…",$25 - $30 an hour,https://www.indeed.com/rc/clk?jk=9184396c5e2d9672&fccid=7e465a3d521b3ac3&vjs=3
Summer Solution Analyst - GCI Analytics,McKinsey & Company,"Atlanta, GA",Posted5 days ago,"In this role, you will interface directly with clients to support their use of the data in our benchmarks, working closely with GCI data engineers and the data…",Internship,https://www.indeed.com/rc/clk?jk=46d8fd96599dfe21&fccid=6576e7250aa78c3c&vjs=3
Data Science Internship,Home Depot / THD,"Atlanta, GA 30301 (Buckhead area)+1 location",Posted18 days ago,"During the 12-week period, interns will focus on working with a variety of data science roles and functions to translate business questions into actionable…",Internship,https://www.indeed.com/rc/clk?jk=6b350341c315247b&fccid=82e58e9861d48566&vjs=3
Supply Chain Finance Data Analytics Intern,"Carters, Inc","Atlanta, GA 30326 (Lenox area)",Posted21 days ago,Support the Supply Chain Finance team with Transportation / Distribution related functions. Data management – create automated report and dashboards.,Full-time +1,https://www.indeed.com/rc/clk?jk=1d342192ca140ddd&fccid=a9addf8bbe542dfe&vjs=3
"Summer 2022 Intern, Data Science, Tableau",Salesforce,"Atlanta, GA 30326 (Lenox area)",Posted1 day ago,"Experience with data manipulation, building data sets. Support and collaborate on the infrastructure required for optimal extraction, transformation and loading…",Full-time +1,https://www.indeed.com/rc/clk?jk=044c0bb1047a86e5&fccid=4027cfd917e1ee29&vjs=3
Systematic Trading Intern,Invesco,"Atlanta, GA 30309 (Midtown area)",Posted30+ days ago,"Recruiting and developing highly skilled interns are key components to achieving this vision. Utilize financial market software and other resources to source,…",Full-time +1,https://www.indeed.com/rc/clk?jk=0b15dd899cc80d7a&fccid=61e847dda35dc377&vjs=3
Software Engineering Intern,Invesco,"Atlanta, GA 30309 (Midtown area)",Posted30+ days ago,"Creation of BI Dashboards using BI and other data visualization tools. Apply data mining, quantitative analysis, and advanced modeling that translate into…",Full-time +1,https://www.indeed.com/rc/clk?jk=5f72d333111f0643&fccid=61e847dda35dc377&vjs=3
Consulting Intern,PYA,"Atlanta, GA 30326 (North Buckhead area)",Posted30+ days ago,"Assist with research and data analysis for client reports and presentations. Support client project requests by solving strategic issues requiring analytical,…",Full-time +1,https://www.indeed.com/rc/clk?jk=81878c788c9decc7&fccid=5dd4d7be4999f809&vjs=3
"IT Intern - Data Science/BI - Atlanta, GA",Oldcastle APG,"Atlanta, GA 30346",Posted18 days ago,"Concentration in computer science / engineering, data science / engineering or related technical major. Good understanding and hands-on experience with writing…",Full-time +1,https://www.indeed.com/rc/clk?jk=cd314b864746120e&fccid=4bf5b27e5a8f513f&vjs=3
Intern - Data Center Tech,Itron,"Atlanta, GA",Posted30 days ago,Documenting data center fixtures for remote access. Follow workplace safety protocols and maintain confidentiality of equipment and data.,Part-time +1,https://www.indeed.com/rc/clk?jk=ead6838b76220e91&fccid=bc47034515663039&vjs=3
Gas Power Data and Analytics Intern – Summer2022,GE Gas Power,"Atlanta, GA 30339",Posted30+ days ago,"GE is seeking sharp, personable, highly organized interns who are looking for the opportunity to grow their domain knowledge in the data field.",Internship,https://www.indeed.com/rc/clk?jk=01b9343cc3f7fdfa&fccid=38e057261a434f79&vjs=3
Intern - Data Center Operations - Summer 2022,Xylem,"Atlanta, GA 30308 (Old Fourth Ward area)",Posted18 days ago,You will have opportunities to utilize a plethora of tools commonly used by engineers in the industry to support applications in the data center and the cloud.,Full-time +1,https://www.indeed.com/rc/clk?jk=8f49437fdce16382&fccid=68ec8a8ee6cf5ac6&vjs=3
"Intern, Data Science & Analytics",Carrier,"Atlanta, GA 30339",Posted30+ days ago,"Engage in either data engineering or dashboard development and/or testing activities, as assigned by the Pod Lead. Proficiency in Microsoft Office applications.",Full-time +1,https://www.indeed.com/rc/clk?jk=5184c4e090daee35&fccid=9a2c8ce9d1b61aac&vjs=3
Actuarial Analyst Intern - Health,Milliman,"Atlanta, GA",Posted30+ days ago,Interns will be assigned two various mentors who will serve as resources throughout the program. 9 weeks of paid work ($25/hr) on various actuarial topics…,$25 an hour,https://www.indeed.com/rc/clk?jk=96fbbb1a67f23aa8&fccid=3d93143c99ff89a3&vjs=3
Data Science & Machine Learning Internship - Undergrad/Grad...,ADP,"Alpharetta, GA 30005",Posted8 days ago,"You bring prior experience to the role of formulating problems, extracting & analyzing data from multiple systems, summarizing critical findings/insights, and…",Internship,https://www.indeed.com/rc/clk?jk=3f37db847fd3e432&fccid=e996c2d6855fe778&vjs=3
FP&A 2022 Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328+12 locations",Posted30+ days ago,"Supports the enterprise financial analysis, reporting, planning organization by developing and delivering metrics/reporting solutions that expose ‘actionable…",Internship,https://www.indeed.com/rc/clk?jk=57c0adf0706b935f&fccid=fcf465e707df52fb&vjs=3
Global Procurement Intern,PepsiCo,"Stone Mountain, GA",Posted30+ days ago,Gather and analyze data to provide meaningful insights. Each intern is presented with a timely question for their team and challenged to think strategically to…,Full-time +1,https://www.indeed.com/rc/clk?jk=f80cf5a6d39d8d0c&fccid=2973259ddc967948&vjs=3
2022 - Summer - Consulting Intern - Data and Digital Service...,RSM US LLP,"Atlanta, GA 30309 (Midtown area)",Posted9 days ago,"Experience with data modeling/manipulation (normalized and de-normalized data models), understanding of the appropriate purpose for each.",Full-time +1,https://www.indeed.com/rc/clk?jk=97e6fbe7d6d0da3c&fccid=198b7374e1f8a26f&vjs=3
Intern- Member of Technical Staff – End User Computing - Opp...,VMware,"Remote in Atlanta, GA",Posted30+ days ago,"Interest to grow int eh data science space. During the first two weeks of employment, you will attend onboarding with other interns, learn about your new role,…",Full-time +1,https://www.indeed.com/rc/clk?jk=a5ac91978ba51160&fccid=c762a27145bd166e&vjs=3
Aircraft Sustainment Researcher Intern - Summer 2022- ELSYS,Georgia Tech Research Institute,"Smyrna, GA 30080",Posted15 days ago,"Ability to perform basic data analytics, modeling, simulation, and optimization in support of research. The Electronic Systems Laboratory (ELSYS) is currently…",Full-time +1,https://www.indeed.com/rc/clk?jk=f3eb34c6a9916bd1&fccid=db25687464a9ecf6&vjs=3
Intern- Member of Technical Staff – End User Computing - Opp...,VMware,"Remote in Atlanta, GA",Posted30+ days ago,Interest to grow int eh data science space. How? By joining VMware as an intern! What type of work will you be doing an intern? Pursuing a BS in CS or ECE.,Full-time +1,https://www.indeed.com/rc/clk?jk=a5ac91978ba51160&fccid=c762a27145bd166e&vjs=3
FP&A 2022 Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted30+ days ago,"Supports the enterprise financial analysis, reporting, planning organization by developing and delivering metrics/reporting solutions that expose ‘actionable…",Internship,https://www.indeed.com/rc/clk?jk=57c0adf0706b935f&fccid=fcf465e707df52fb&vjs=3
UPS Capital BIA Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted30 days ago,Preforms data analytics to support business. Manipulates large data sets and possesses analysis skills. UPS Capital BIA is seeking a dynamic Intern to impact…,Internship,https://www.indeed.com/rc/clk?jk=380489becaf50dac&fccid=fcf465e707df52fb&vjs=3
Real Estate Strategy Intern - Summer 2022 Internship,Level 5 Capital Partners,"Atlanta, GA 30307",Posted5 days ago,Strong excel functionality and data manipulation abilities. Collect data and insights from existing brand locations. What you'll do here:,Full-time +1,https://www.indeed.com/rc/clk?jk=0a8e0bcdd2e7811d&fccid=8c1606d17c10b9f3&vjs=3
"IT Intern - Data Science/BI - Atlanta, GA",Oldcastle APG,"Atlanta, GA 30346",Posted18 days ago,"Concentration in computer science / engineering, data science / engineering or related technical major. Good understanding and hands-on experience with writing…",Full-time +1,https://www.indeed.com/rc/clk?jk=cd314b864746120e&fccid=4bf5b27e5a8f513f&vjs=3
Laboratory Technician Intern,Gwinnett County,"Gwinnett County, GA",Posted30+ days ago,Assist with data analysis and reports. Gwinnett County's Department of Water Resources is currently recruiting to hire Laboratory/Research interns to assist our…,$16.39 an hour,https://www.indeed.com/rc/clk?jk=5c40904b02f52489&fccid=3720d878ea31de0f&vjs=3
B-SEEN Alzheimer's Registry intern,Georgia Department of Public Health,"Atlanta, GA",Posted10 days ago,Support BOLD team with data entry and data updates. Focus on biobehavioral surveillance and data management activities. A strong knowledge of SAS is required.,$13.75 an hour,https://www.indeed.com/rc/clk?jk=cca2ea408d7a1b45&fccid=8f83b455df0b0575&vjs=3
Security Services Developer: 2022 Intern,IBM,"Sandy Springs, GA 30328",Posted30+ days ago,"IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software…",Full-time +1,https://www.indeed.com/rc/clk?jk=de710d9d90434b90&fccid=de71a49b535e21cb&vjs=3
Internal Audit Intern (Summer 2022),JM Huber Corporation,"Hybrid remote in Atlanta, GA",Posted9 days ago,"Gain exposure to the application of advanced data analytics tools and techniques. Throughout the summer, interns will be supported by assigned mentors, be…",Internship,https://www.indeed.com/rc/clk?jk=1d2e4b3e14fe3c70&fccid=4fdfa8b3b6a4b7ca&vjs=3
Risk & Reg - Technology Risk Consulting Intern - Summer 2022,PRICE WATERHOUSE COOPERS,"Atlanta, GA 30309 (Midtown area)+1 location",Posted8 days ago,"Handle, manipulate and analyse data and information responsibly. Think broadly and ask questions about data, facts and other information.",Internship,https://www.indeed.com/rc/clk?jk=4f7ab9d94bd4282a&fccid=5e964c4afc56b180&vjs=3
Environmental Scientist Intern - Natural & Cultural Resource...,Burns & McDonnell,"Atlanta, GA",Posted10 days ago,"Participate in continuous improvement efforts by collecting and analyzing data. Assist with tasks that may include filing, scanning, data entry, documentation,…",Full-time +1,https://www.indeed.com/rc/clk?jk=5e0ce556d70d6b69&fccid=75aff752794baac1&vjs=3
